Lote;Nome;Leite 15/07;Leite 16/07;Total
1;Barroca;9.2;12.2;21.4
1;Gafieira;8.6;10.6;19.2
1;Criativa;9.6;11.8;21.4
1;Patrola;12.2;12;24.2
1;Uberlandia;10.2;10.8;21
1;Angulinha;7.4;9.5;16.9
1;Boiadeira;10.8;12;22.8
1;Geitoza;10.6;12;22.6
1;Pirata;8;9.4;17.4
1;Bhama;8.4;10.2;18.6
1;Peroba;8;9.4;17.4
1;Serena;7;7.8;14.8
1;Criulina;10.2;12.2;22.4
1;Gaivota;11.6;13;24.6
1;Brasilandia;6.8;7.6;14.4
1;Coroua;8;8;16
1;Bucanha;8;6;14
1;Pintura;7.6;11.6;19.2
1;Sacola;9.2;9.5;18.7
1;Paraibana;8.8;10;18.8
1;Barra Grande;5.6;6;11.6
1;Branquinha;9.6;10.6;20.2
1;Extrema;11;11.2;22.2
1;Panela;14;12.2;26.2
1;Nata;7;7.8;14.8
1;Paulistinha;10;12.8;22.8
1;Carambola;7.6;9;16.6
1;Confianca;9;11.6;20.6
1;Azulinha;7.8;10;17.8
1;Pirapora;8;8;16
1;Pipoca;8;6;14
1;Candeia;10.6;10.4;21
1;Codorninha;6.6;8;14.6
1;Chupeta;7.6;9.2;16.8
1;Ruxinola;3.4;3;6.4
1;Cacula;5.2;10.4;15.6
1;Fulia;8;8;16
1;Maravilha;8;8;16
1;Italiana;10.2;11.8;22
1;Tara;8.8;11;19.8
1;Mancinha;6.6;7.8;14.4
1;Delicada;9.2;10.6;19.8
1;Bilosca;11.2;13.2;24.4
1;India;7.6;10;17.6
1;Esperanca;9;11;20
1;Itauna;8.4;10.4;18.8
1;Neguinha;10;12;22
1;Uberaba;7;9.4;16.4
1;Troxada;8.6;9.4;18
1;Palmera;11;13;24
1;Jarrinha;7.8;8.6;16.4
1;Pomba;8.8;10.2;19
1;Reforma;9.8;10.8;20.6
1;Pirraca;13;14.4;27.4
1;Panda;9;11;20
1;Guarana;6.6;8.2;14.8
1;Cacarola;9;10.2;19.2
1;Goiaba;9.4;11.4;20.8
1;Uva;7;8.2;15.2
1;Fazendinha;6;8.2;14.2
1;Harpa;5;4.6;9.6
1;Passage;2.4;3.5;5.9
1;Camponesa;6.8;9;15.8
1;Bunita;5.2;6.8;12
1;Manhosa;3.6;4.4;8
1;Doirada;4.4;8.2;12.6
1;Noiva;7.4;7.6;15
1;Medalha;6.8;6.6;13.4
1;Juriti;12;15;27
1;Paulista;10;11.6;21.6
1;Zebrinha;5;7.8;12.8
1;Vicosa;11;13.4;24.4
1;Letrada;10.2;10.6;20.8
1;Ruxinha;7;6.2;13.2
1;Matula;6;7.6;13.6
1;Nanica;4.6;7;11.6
1;Zebra;7;8.2;15.2
1;Ciganinha;9.2;10;19.2
