Lote;Nome;Leite 05/08 Tarde;Leite 06/08 Manha;Total
1;Boiadeira;10;10;20
1;Gaivota;10;9,4;19,4
1;Sacola;10;7,8;17,8
1;Montanha;9;8,4;17,4
1;Jarrinha;7,5;9;16,5
1;Sanfona;8;8;16
1;Granfina;10;8;18
1;Uberlandia;10;10;20
1;Patrola;12;10,8;22,8
1;Camponesa;11;12;23
1;Delicada;9;6,6;15,6
1;Certeza;9;8;17
1;Facha;10;9,6;19,6
1;Maravilha;8;9;17
1;Lamparina;9;8,6;17,6
1;Paraibana;9,4;9,6;19
1;Una;9,4;9;18,4
1;Panela;11,4;8;19,4
1;Bhama;7,4;7;14,4
1;Faceira;8;8;16
1;Cafeteira;8;8;16
1;Pintura;9,6;8,8;18,4
1;Geitoza;11,2;10,6;21,8
1;Cinderela;8,2;8;16,2
1;Vicosa;10;11,6;21,6
1;Panda;10;9;19
1;Troxada;9;6,2;15,2
1;Extrema;11,4;11,2;22,6
1;Pirata;7;6;13
1;Palmeira;10,8;9;19,8
1;Negrinha;11,2;10;21,2
1;Marelona;6,6;7,8;14,4
1;Amora;11,4;11,8;23,2
1;Branquinha;7,6;8,2;15,8
1;Pomba;7;8;15
1;Gafieira;10;7,6;17,6
1;Barroca;10,6;12,8;23,4
1;Fazendinha;8,2;8,4;16,6
1;Sariema;11;9;20
1;Conserva;11;10;21
1;Cereja;9,6;8;17,6
1;Tara;8,4;8,2;16,6
1;Bela;10;9;19
1;Sabrina;11;9;20
1;Bucanha;12,8;11,4;24,2
1;Criativa;10,4;9,8;20,2
1;Candeia;9,4;8,8;18,2
1;Pulsera;8,2;8,4;16,6
1;Azulinha;10;8;18
1;Piratinha;10,2;8,6;18,8
1;Tampinha;9;7,4;16,4
1;Holanda;8,4;8,4;16,8
1;India;8,6;8,2;16,8
1;Italiana;9,4;9;18,4
1;Completa;9,4;7,2;16,6
1;Cachoeira;9;9;18
1;Peroba;10;8;18
1;Cabritona;5,4;7,4;12,8
1;Nanica;8,4;9;17,4
1;Charmosa;8,4;7,4;15,8
1;Esperanca;10,2;9;19,2
1;Garupa;10,2;8,6;18,8
1;Torrada;7,4;6,2;13,6
1;Letrada;9,4;10;19,4
1;Baroneza;11,2;9;20,2
1;Reforma;9,2;9;18,2
1;Pirapora;8,4;8,8;17,2
1;Deuza;12,8;11,4;24,2
1;Pirraca;12,4;10,4;22,8
1;Bilosca;11,6;10,6;22,2
1;Moeda;14;12,6;26,6
1;Paulistinha;11,2;9;20,2
1;Florentina;10;8;18
1;Criulina;12;9,2;21,2
1;Gracinha;11,2;10;21,2
1;Cacarola;8,2;8,2;16,4
1;Juriti;13,4;12,2;25,6
1;Briza;9,4;7,2;16,6
1;Ciganinha;10;9;19
1;Novela;9;8;17
1;Maripoza;9,4;7,8;17,2
1;Goiaba;10;8;18
1;Grandeza;8,8;7;15,8
1;Paulista;10,8;10;20,8
1;Itauna;10,4;9,6;20
2;Azeitona;8,2;5,8;14
2;Batata;14;8,6;22,6
2;Angulinha;9;5,8;14,8
2;Regata;10,4;6,4;16,8
2;Caipira;9;7;16
2;Codorninha;7,4;6;13,4
2;Morada;7;3;10
2;Bunita;7,6;5,6;13,2
2;Pampuha;6,6;5;11,6
2;Fazendera;6;3,6;9,6
2;Pipoca;9;6;15
2;Estrangera;7,6;4,4;12
2;Erica;10;6;16
2;Gemada;9,2;6,6;15,8
2;Barra Manca;10;7;17
2;Brasilandia;8,2;5,2;13,4
2;Serena;8;5,4;13,4
2;Argentina;9,4;6,4;15,8
2;Cacula;8,4;6;14,4
2;Ratuera;8,6;4,2;12,8
2;Manhosa;5,6;3,6;9,2
2;Carla;9;4,8;13,8
2;Caneca;8,2;5,8;14
2;Zebra;7,8;6,4;14,2
2;Barra Grande;7;5,2;12,2
2;Imprensa;9,8;6,8;16,6
2;Monaliza;6,2;4,4;10,6
2;Madrugada;4,4;2,4;6,8
2;Nata;8;4;12
2;Pureza;7,8;5,8;13,6
2;Noiva;9;6,4;15,4
2;Urania;8;6,6;14,6
2;Londrina;9,6;6;15,6
2;Coruja;15;10;25
2;Rainha;7,4;6;13,4
2;Roxinha;13,8;7,2;21
2;Harpa;8,8;5,8;14,6
2;Uberaba;8,2;5;13,2
2;Sara;8;5;13
2;Xita;8,2;5,2;13,4
2;Uva;9;5,4;14,4
2;Bandeira;7,4;5,6;13
2;Campina;7,4;3,4;10,8
2;Coroa;9;5,6;14,6
2;Carambola;9;6,2;15,2
2;Bargada;10;5,6;15,6
2;Pacoquinha;12;8,4;20,4
2;Bolivia;7;6;13
2;Pelota;8,4;5;13,4
2;Prainha;8,8;5,8;14,6
2;Resenha;9;6;15
2;Bulacha;9;5,6;14,6
2;Morena;6,6;5;11,6
2;Fulia;7,6;6,2;13,8
2;Carmona;7,4;5;12,4
2;Betania;8;5,8;13,8
2;Peteca;9,4;6;15,4
2;Frisura;7,4;6;13,4
2;Medalha;6,2;5,4;11,6
2;Chupeta;9,6;6;15,6
2;Vitamina;9;6;15
2;Pirunga;7,8;5,8;13,6
2;Colombia;5,4;4,4;9,8
2;Pompeia;7;5,2;12,2
2;Batuta;9,6;5,4;15
2;Doirada;9;5,4;14,4
2;Borboleta;4;5,6;9,6
2;Mucamba;11;6,6;17,6
2;Goteira;9;6,2;15,2
2;Aranha;8,4;6;14,4
2;Cafusa;8,4;6,4;14,8
2;Zebrinha;9,4;5,6;15
2;Guarana;8,4;6;14,4
2;Goiabinha;11;7,4;18,4
2;Gaucha;6,4;4,4;10,8
2;Ligurita;6,4;4,6;11
2;Gravura;9;7;16
2;Manteiga;8,8;6;14,8
2;Revista;9,6;6,4;16
2;Alemanha;8,4;1,4;9,8
2;Redonda;8,2;5,4;13,6
3;Mantiquera;7;3,2;10,2
3;Baiana;7,4;4;11,4
3;Pata;6,6;3,2;9,8
3;Manchada;6,6;3,8;10,4
