Lote;Nome;Leite Manha;Leite Tarde;Total
1;Boiadeira;7.8;8;15.8
1;Garupa;9;9.5;18.5
1;Sanfona;7.2;10.5;17.7
1;Gaivota;10.2;8;18.2
1;Batata;12.2;12.5;24.7
1;Goiabinha;7.8;7.5;15.3
1;Madrugada;10.4;10;20.4
1;Fazendinha;8.4;8.5;16.9
1;Sariema;7.2;8.4;15.6
1;Peroba;7;7.8;14.8
1;Barroca;8;7.4;15.4
1;Cereja;8.4;9;17.4
1;Criativa;9.2;10;19.2
1;Pelota;7.6;8.8;16.4
1;Vitamina;8;8.2;16.2
1;Criulina;9.6;11;20.6
1;Gracinha;8;9.2;17.2
1;Coca;7.6;8;15.6
1;Bucanha;11;11.4;22.4
1;Azulinha;6;6.4;12.4
1;Beleza;8.2;10;18.2
1;Moeda;10.4;11.4;21.8
1;Nanica;7.8;7;14.8
1;Cachoera;9;9;18
1;Baroneza;9;8.2;17.2
1;Paulistinha;8.6;8.5;17.1
1;Revistinha;10;9;19
1;Cafetera;8;9;17
1;Barra Manca;6.8;8;14.8
1;Panela;7.2;9;16.2
1;Coruja;10;11;21
1;Pulsera;7.4;8.5;15.9
1;Holanda;9.2;9.5;18.7
1;Sabrina;8.2;9;17.2
1;Reforma;8;9;17
1;Patrola;9;9;18
1;Brahma;8.6;7.5;16.1
1;Uberlandia;8.4;8;16.4
1;Itauna;8;8;16
1;Paraibana;9;9;18
1;Pintura;6.6;8;14.6
1;Italiana;7.6;8;15.6
1;Pirraca;9.4;10;19.4
1;Esperanca;9;9;18
1;Certeza;6.2;8;14.2
1;Juriti;9.8;12;21.8
1;Piratinha;4.2;13;17.2
1;Deuza;10.2;11;21.2
1;Letrada;8.2;8.8;17
1;Camponeza;9.8;9;18.8
1;Granfina;11.4;13;24.4
1;Dona;10.8;9;19.8
1;Una;9;8.5;17.5
1;Facha;9;9;18
1;Extrema;9.4;9;18.4
1;Maravilha;7.8;7;14.8
1;Gauchona;6;6;12
1;Ciganinha;7.6;;7.6
1;Mucamba;9.2;8.4;17.6
1;Paulista;7.2;7.6;14.8
1;Bilosca;9.2;7.6;16.8
1;Panda;9.2;10;19.2
1;Florentina;8.2;7.2;15.4
1;Goiaba;8.4;8;16.4
1;Rozinha;9.4;8.4;17.8
1;Amora;10;8;18
1;Palmeira;11;9;20
1;Negrinha;11;9.6;20.6
1;Carijo;8.2;9;17.2
1;Pacoquinha;8;10;18
2;Turquia;5;;5
2;Marreca;5;;5
2;Canastra;7;8.2;15.2
2;Chinesa;8;;8
2;Sardinha;5;;5
2;Areia;5;6;11
2;Letradinha;3.8;6;9.8
2;Laguna;4.4;6.4;10.8
2;Baetona;5.6;7.4;13
2;Girafinha;5.6;7;12.6
2;Pratiada;6.8;8.2;15
2;Cebola;7.2;9;16.2
2;Paquita;5.6;7.4;13
2;Itambé;6;7.4;13.4
2;Espetora;4.2;6.4;10.6
2;Guanabara;6;8;14
2;Maluca;5;6;11
2;Verdura;7.6;11;18.6
2;Lontra;6;7;13
2;Ligeira;6.6;7.5;14.1
2;Gabiroba;7.2;8;15.2
2;Macaca;7;8.4;15.4
2;Roseira;6.4;8;14.4
2;Bananinha;4;8;12
2;Crioula;4.6;6;10.6
2;Biquinha;7.6;7.6;15.2
2;Pera;8;8;16
2;Curitiba;6;6;12
2;Bordada;5;5;10
2;Caravela;4;5;9
2;Liza;4;6.4;10.4
2;Graviola;4.6;5;9.6
