Lote;Nome;06/03/2020(Tarde);07/03/2020(Manha);Total
1;Gravura;5.6;5.6;11.2
1;Paraibana;10;9.1;19.1
1;Sabrina;5.2;6.2;11.4
1;Madrugada;7.2;6.5;13.7
1;Bilosca;6;6.6;12.6
1;Carijo;6;8;14
1;Pulcera;5.2;5.4;10.6
1;Letrada;3.4;5.4;8.8
1;Zebrinha;6;7;13
1;Deuza;7;8;15
1;Holanda;6.4;7;13.4
1;Coca;5;5;10
1;Jarrinha;6;5.5;11.5
1;Erica;3.4;7;10.4
1;Goiabinha;5.6;5.5;11.1
1;Pirunga;5.8;5.4;11.2
1;Revistinha;8;7;15
1;Esperanca;8;7;15
1;Bela;5.6;7;12.6
1;Fazenda;5.4;5;10.4
1;Cacarola;5.4;6;11.4
1;Panda;6;7;13
1;Gracinha;5.4;6;11.4
1;Dama;5.2;6;11.2
1;Juriti;5.8;6.4;12.2
1;Goiaba;7;6.6;13.6
1;Criativa;7;6.8;13.8
1;Panela;5;4.2;9.2
1;Extrema;8;8;16
1;Redonda;7.4;7.2;14.6
1;Vitamina;7;6.4;13.4
1;Bucanha;-;12;12
1;Amora;6.2;7.6;13.8
1;Reforma;5;4;9
1;Pirraca;6;6;12
1;Garupa;7;6;13
1;Granfina;11;9;20
1;Mucamba;5.8;5.6;11.4
1;Argentina;5;5.2;10.2
1;Patrola;7;7;14
1;Negrinha;5.6;4;9.6
1;Rosada;4;4.4;8.4
1;Maravilha;5;5;10
1;Beleza;6;7;13
1;Serra Negra;7.4;6.6;14
1;Cafeteira;7;6;13
1;Fazendinha;7;7;14
1;Boiadeira;5.4;4;9.4
1;Piratinha;6.4;6;12.4
1;Coruja;8;6.4;14.4
1;Pintura;3;3.5;6.5
1;Sariema;5.4;5.4;10.8
1;Argola;3.4;3.6;7
1;Pampulha;5.2;7;12.2
1;Passoquinha;6.2;6;12.2
1;Pureza;6;6.6;12.6
1;Geitoza;6.8;5.5;12.3
1;Uberlandia;6;6;12
1;Nanica;5;5;10
1;Camponesa;4;5;9
1;Batata;9.4;9;18.4
2;Purina;-;8;8
2;Farrista;5.2;8.6;13.8
2;Cabloca;8.8;7.2;16
2;Lagoa;4.2;6;10.2
2;Negrona;4.6;7.2;11.8
2;Paulista;5.2;7.4;12.6
2;Trigueira;6;5;11
2;Mutuca;5.2;7;12.2
2;Riqueza;5.4;5;10.4
2;Tramela;5;5.6;10.6
2;Escova;6;8;14
2;Garota;5.8;8;13.8
2;Pinta Roxa;5.8;8.4;14.2
2;Porva;5.4;10;15.4
2;Sardinha;4.6;7.6;12.2
2;Cabiuna;2.6;5.2;7.8
2;Sete Copas;4.6;8;12.6
2;Urca;7.4;4.6;12
2;Juazeira;6.6;10.8;17.4
2;Cabrita;5.4;7.2;12.6
2;Industria;7.4;11;18.4
2;Codorna;6.4;7.2;13.6
2;Harpa;7;16;23
2;Cativeira;5;6.8;11.8
2;Fumacinha;6.6;11;17.6
2;Lembrada;6.6;6.8;13.4
2;Cana Brava;7.2;10.6;17.8
2;Caneca;6;7.4;13.4
2;Castanha;5.8;9.6;15.4
2;Esmeralda;4;7;11
2;Empresa;6.2;8;14.2
2;Trairinha;5.6;8.4;14
2;Madona;7;9;16
2;Tribuna;5.6;9;14.6
2;Xalana;5.6;7.8;13.4
2;Lembranca;6.6;10.6;17.2
2;Serena;10;16;26
2;Faxina;1;3;4
2;Maripoza;6.4;9;15.4
2;Peroba;6;10;16
2;Paraiba;6;8;14
2;Espada;6.4;7.6;14
2;Neblina;6.4;10;16.4
2;Queimada;3.6;5.8;9.4
2;Baleia;6;10.8;16.8
2;Pavuna;7.6;9.4;17
2;Patola;5;6.8;11.8
2;Amazonas;9.2;10.2;19.4
2;Goiania;9;10.2;19.2
2;Lavoura;5.4;7.6;13
2;Urania;4.6;6.8;11.4
2;Cafuza;6.6;10;16.6
2;Sacola;8;14;22
2;Vila Nova;4.8;6.4;11.2
2;Manchada;8;8.2;16.2
2;Boneca;9.6;12.2;21.8
2;Bahia;5.6;8.4;14
2;Baia;8;-;8
2;Balinha;6.2;10.8;17
2;Jararaca;3.6;5.6;9.2
2;Ruela;8;-;8
2;Tranquila;8;-;8
3;Bananinha;5.4;4;9.4
3;Turquia;4.4;5;9.4
3;Mantena;6;5;11
3;Jade;5.8;7;12.8
3;Serra Azul;5.6;7.2;12.8
3;Areia;7;8.8;15.8
3;Fortuna;5;5;10
3;Maluca;5.8;4.4;10.2
3;Picuma;5;8.4;13.4
3;Biquinha;5.4;6.8;12.2
3;Macaca;6.4;5.4;11.8
3;Cristalina;5.2;7.8;13
3;Girafinha;4;6.2;10.2
3;Mistura;5.6;6.6;12.2
3;Carioca;4.8;5;9.8
3;Paquita;6.8;7;13.8
3;Bainha;3.4;5.2;8.6
3;Cocada;6;8.2;14.2
3;Masuca;4.6;6;10.6
3;Bordada;5;5.4;10.4
3;Guanabara;5.8;8;13.8
3;Nabuca;5.2;4.4;9.6
3;Pimenta;6.2;6;12.2
3;Gamela;5;7;12
3;Ligeira;5.2;7;12.2
3;Clareza;6;7.4;13.4
3;Laguna;3.2;-;3.2
3;Meia Noite;6.8;7;13.8
3;Crioula;3.6;5.4;9
3;Princesa;6.6;9.6;16.2
3;Moreninha;3.4;4;7.4
3;Caravela;4.8;6.4;11.2
3;Leitura;4.4;7.2;11.6
3;Africana;6.8;8;14.8
