Lote;Nome;Manha;Tarde;Total
1;Mexirica;14;11;25
1;Londrina;14,4;10,4;24,8
1;Gaivota;13,4;11;24,4
1;Mucamba;13;10;23
1;Delicada;12,4;10;22,4
1;Paulistinha;12;10;22
1;Nobreza;13;9;22
1;Jarra;12;9,8;21,8
1;Sara;11,6;10;21,6
1;Grandeza;12;9,4;21,4
1;Harpa;12,2;9;21,2
1;Palmeira;13;8,2;21,2
1;China;10;10,4;20,4
1;Monaliza;10;10,4;20,4
1;Canoa;12;8;20
1;Maiada;12;8;20
1;Mocha;9,4;9;18,4
1;Pirraça;10,4;8;18,4
1;Italiana;10,8;7,4;18,2
1;Uberaba;10;8;18
1;Barra Grande;9,4;8,2;17,6
1;Cachoeira;8,4;9;17,4
1;Resenha;10;7,4;17,4
1;Garrucha;10;7,2;17,2
1;Uva;10;7,2;17,2
1;Grangeira;9;8;17
1;Violeira;9,2;7,4;16,6
1;Charmosa;8;8;16
1;Portela;8;8;16
1;Carla;9;7;16
1;Piaba;9,4;6,6;16
1;Barcelona;8;8;16
1;Perigosa;8;8;16
1;Carmona;9;6,8;15,8
1;Guarana;8,6;7;15,6
1;Cereja;10,2;5,4;15,6
1;Bolinha;9;6,4;15,4
1;Chupeta;8,6;6,6;15,2
1;Azulinha;7,8;7;14,8
1;Argola;7;7;14
1;Gincana;7,6;6,4;14
1;Bigorna;8;5,2;13,2
1;Pelota;8;4,8;12,8
1;Cigana;6;5,2;11,2
2;Fazendona;14;10,2;24,2
2;Doida;13,2;10,6;23,8
2;Tranquila;13;10;23
2;Una;12,8;10;22,8
2;Formosa;13,6;9;22,6
2;Fogueira;13;9,4;22,4
2;Mariposa;13;9,4;22,4
2;Barrada;12;10;22
2;Empresa;12;8,4;20,4
2;Trouxada;10,6;9;19,6
2;Paulista;10,6;8,2;18,8
2;Fumacinha;10,6;7,6;18,2
2;Moira;10,2;7,8;18
2;Patola;10,2;7,4;17,6
2;Peroba;10;7,2;17,2
2;Carinhosa;8,6;8;16,6
2;Roela;9,2;7,4;16,6
2;India;8,4;8;16,4
2;Paraiba;9,2;7,2;16,4
2;Manchada;9,4;7;16,4
2;Carneira;9;7;16
2;Negrona;9;7;16
2;Riqueza;9,4;5,2;14,6
2;Garota;8;6,4;14,4
2;Angola;7,8;6,4;14,2
2;Queimada;8;5,6;13,6
2;Briza;7,2;6,2;13,4
2;Neblina;7,2;5,8;13
2;Serra Azul;7,4;5,2;12,6
2;Faxina;6,2;5;11,2
2;Marreca;6,4;4;10,4
2;Violeta;5,6;4,4;10
2;Mistura;5,4;4,4;9,8
2;Trairinha;5;4,4;9,4
2;Baia;5,2;3,4;8,6
