Lote;Nome;23/07 Tarde;24/07 Manha;Soma
4;Cachoeira;7;18;25
4;Ciganinha;10;19;29
4;Brauna;4.4;9.6;14
4;Cinderela;1.6;4.2;5.8
4;Moeda;5.2;4.4;9.6
4;Laguna;2;4.8;6.8
4;Mulatinha;2.2;5;7.2
4;Pera;2.6;6;8.6
4;Coca;1.6;3.4;5
4;Caravela;1.4;4.2;5.6
4;Letradinha;2.4;4.4;6.8
4;Moreninha;1.8;4.4;6.2
4;Chatinha;1.2;3.2;4.4
4;Itambe;3.4;6.6;10
4;Bucanha;2.2;6.4;8.6
4;Argentina;2.2;4.2;6.4
4;Roseira;3;5;8
4;Panela;1.4;3;4.4
4;Holanda;2.8;4.6;7.4
4;Pureza;1.2;2.6;3.8
4;Bordada;2.6;6.2;8.8
4;Bela;2.6;4.4;7
4;Gabiroba;2.8;6;8.8
4;Pata;1.4;3.8;5.2
4;Esmeralda;3.2;6.6;9.8
4;Curitiba;2.6;5;7.6
4;Prateada;3;6.4;9.4
4;Bananinha;2.8;6;8.8
4;Chinesa;-;5;5
4;Uranha;2.4;4.8;7.2
4;Jade;4;6.4;10.4
4;Mazuca;2.2;4.2;6.4
4;Baetona;2;4.8;6.8
4;Juazeira;4.8;8.2;13
4;Jarrinha;2.6;6.2;8.8
4;Gracinha;2;2.8;4.8
4;Serra Azul;2.8;6;8.8
4;Maiadinha;1.8;4.2;6
4;Paquita;3.2;6.4;9.6
4;Bilosca;2.4;5.2;7.6
4;Angolinha;1.2;2;3.2
4;Loirinha;2;4.2;6.2
4;Mistura;2.4;4.4;6.8
4;Jaguanesa;1.6;3.8;5.4
4;Picuma;2.8;-;2.8
4;Panda;2;5;7
4;Lagoa;1.6;3.8;5.4
4;Branquinha;0.2;2.6;2.8
4;Carioca;1.8;-;1.8
4;Piracicaba;2.2;4.4;6.6
4;Jararaca;2.2;3.2;5.4
4;Lontra;2.2;5.6;7.8
4;Tramela;5;4;9
4;Mantena;4;6.6;10.6
4;Revista;1.4;3;4.4
4;Ciranda;3.8;7.2;11
4;Rape;2.4;5.2;7.6
4;Bainha;2.4;5.4;7.8
4;Liza;2.6;5;7.6
4;Gamela;2;4.2;6.2
4;Nabuca;3.6;3.2;6.8
3;Pimenta;4.4;8.4;12.8
3;Clareza;3.8;7.4;11.2
3;Madona;7;12;19
3;Amazona;6.4;9;15.4
3;Pavuna;6;9.4;15.4
3;Fortuna;5.2;8.4;13.6
3;Sacola;5.4;8.8;14.2
3;Industria;5.6;9;14.6
3;Carijo;4.4;9.2;13.6
3;Nata;4.6;7.6;12.2
3;Maluca;4.2;8;12.2
3;Cinturinha;3;8.4;11.4
3;Pinta Roxa;5;6;11
3;Africana;5.2;10.4;15.6
3;Guanabara;4.4;10;14.4
3;Tribuna;5.2;9.6;14.8
3;Castanha;5;8.2;13.2
3;Cabrita;5.6;8.6;14.2
3;Ligeira;4.6;7.6;12.2
3;Cocada;1.4;9.2;10.6
3;Goiania;3.4;5;8.4
3;Serena;4;8;12
3;Mutuca;4;8;12
3;Galocha;6.2;11;17.2
3;Xalana;3.6;6.2;9.8
3;Coleira;2.8;4.4;7.2
3;Lindoia;3;6;9
3;Balinha;5.8;9.8;15.6
3;Varanda;3.6;6.4;10
3;Serenata;3;6.8;9.8
3;Espada;4.6;7.4;12
3;Cabana;4.6;8.2;12.8
3;Aveia;5.2;9.2;14.4
3;Revistinha;3.8;7.2;11
3;Princesa;3.8;5.8;9.6
3;Deusa;4.4;9;13.4
3;Sete Copas;4.2;7.2;11.4
3;Cativeira;4.6;7.4;12
3;Cabocla;5;9;14
3;Cana Brava;5.4;9;14.4
3;Fuzaca;2.4;4;6.4
3;Biquinha;4.8;9;13.8
3;Lembranca;3.8;7;10.8
3;Lembrada;4.4;8;12.4
3;Sardinha;3.8;7.4;11.2
3;Cristalina;4.6;7.6;12.2
3;Manhosa;2;3;5
3;Paloma;4.2;5.4;9.6
3;Trigueira;4.6;6.2;10.8
3;Farrista;4.2;7.2;11.4
3;Cara Suja;5;7.4;12.4
3;Chaleira;4.8;9;13.8
3;Zebrinha;7;7;14
3;Cativeira;4.6;6.6;11.2
3;Baliza;3.6;6.4;10
3;Turquia;3.4;7;10.4
3;Porva;5;10;15
3;Baleia;5;7.2;12.2
2;Uberlandia;8;12;20
2;Gaivota;10;13;23
2;Zebra;8;13.2;21.2
2;Serra Negra;7;8.8;15.8
2;Esperanca;11;13.2;24.2
2;Garupa;8;9;17
2;Bhrama;8;8.8;16.8
2;Granjeira;8.8;12.2;21
2;Violeira;7.4;8.2;15.6
2;China;8;9;17
2;Monaliza;10;10.6;20.6
